0.00000,0.67118,-0.19380,0.13794
0.00238,0.67118,-0.19380,0.13795
0.00476,0.67119,-0.19380,0.13796
0.00714,0.67119,-0.19381,0.13797
0.00952,0.67120,-0.19381,0.13799
0.01190,0.67121,-0.19382,0.13802
0.01429,0.67122,-0.19382,0.13805
0.01667,0.67122,-0.19383,0.13808
0.01905,0.67123,-0.19383,0.13812
0.02143,0.67124,-0.19384,0.13817
0.02381,0.67125,-0.19385,0.13822
0.02619,0.67126,-0.19386,0.13828
0.02857,0.67127,-0.19386,0.13834
0.03095,0.67128,-0.19387,0.13841
0.03333,0.67129,-0.19388,0.13848
0.03571,0.67129,-0.19389,0.13856
0.03810,0.67130,-0.19390,0.13864
0.04048,0.67131,-0.19391,0.13872
0.04286,0.67132,-0.19392,0.13881
0.04524,0.67132,-0.19393,0.13891
0.04762,0.67133,-0.19394,0.13901
0.05000,0.67134,-0.19395,0.13911
0.05238,0.67134,-0.19396,0.13922
0.05476,0.67134,-0.19396,0.13933
0.05714,0.67135,-0.19397,0.13945
0.05952,0.67135,-0.19398,0.13957
0.06190,0.67135,-0.19399,0.13969
0.06429,0.67135,-0.19399,0.13982
0.06667,0.67134,-0.19400,0.13995
0.06905,0.67134,-0.19400,0.14009
0.07143,0.67133,-0.19401,0.14023
0.07381,0.67132,-0.19401,0.14038
0.07619,0.67131,-0.19401,0.14053
0.07857,0.67130,-0.19402,0.14068
0.08095,0.67129,-0.19402,0.14084
0.08333,0.67127,-0.19402,0.14100
0.08571,0.67125,-0.19401,0.14117
0.08810,0.67123,-0.19401,0.14134
0.09048,0.67121,-0.19401,0.14151
0.09286,0.67118,-0.19400,0.14169
0.09524,0.67115,-0.19400,0.14187
0.09762,0.67112,-0.19399,0.14206
0.10000,0.67108,-0.19398,0.14225
0.10238,0.67105,-0.19397,0.14244
0.10476,0.67101,-0.19395,0.14264
0.10714,0.67096,-0.19394,0.14285
0.10952,0.67091,-0.19392,0.14305
0.11190,0.67086,-0.19390,0.14327
0.11429,0.67081,-0.19388,0.14348
0.11667,0.67075,-0.19386,0.14370
0.11905,0.67069,-0.19383,0.14393
0.12143,0.67062,-0.19381,0.14415
0.12381,0.67055,-0.19378,0.14439
0.12619,0.67048,-0.19374,0.14462
0.12857,0.67040,-0.19371,0.14487
0.13095,0.67031,-0.19367,0.14511
0.13333,0.67023,-0.19363,0.14536
0.13571,0.67014,-0.19359,0.14562
0.13810,0.67004,-0.19354,0.14587
0.14048,0.66994,-0.19350,0.14614
0.14286,0.66983,-0.19345,0.14641
0.14524,0.66972,-0.19339,0.14668
0.14762,0.66961,-0.19334,0.14695
0.15000,0.66949,-0.19328,0.14723
0.15238,0.66936,-0.19321,0.14752
0.15476,0.66923,-0.19315,0.14781
0.15714,0.66909,-0.19308,0.14810
0.15952,0.66895,-0.19300,0.14840
0.16190,0.66880,-0.19292,0.14871
0.16429,0.66865,-0.19284,0.14901
0.16667,0.66849,-0.19276,0.14933
0.16905,0.66832,-0.19267,0.14964
0.17143,0.66815,-0.19258,0.14996
0.17381,0.66797,-0.19248,0.15029
0.17619,0.66779,-0.19238,0.15062
0.17857,0.66760,-0.19228,0.15095
0.18095,0.66740,-0.19217,0.15129
0.18333,0.66720,-0.19205,0.15164
0.18571,0.66699,-0.19194,0.15199
0.18810,0.66677,-0.19181,0.15234
0.19048,0.66655,-0.19169,0.15270
0.19286,0.66632,-0.19155,0.15306
0.19524,0.66608,-0.19142,0.15342
0.19762,0.66584,-0.19128,0.15379
0.20000,0.66559,-0.19113,0.15417
0.20238,0.66533,-0.19098,0.15455
0.20476,0.66507,-0.19082,0.15493
0.20714,0.66479,-0.19066,0.15532
0.20952,0.66452,-0.19050,0.15571
0.21190,0.66423,-0.19033,0.15611
0.21429,0.66393,-0.19015,0.15651
0.21667,0.66363,-0.18997,0.15692
0.21905,0.66332,-0.18978,0.15733
0.22143,0.66300,-0.18959,0.15774
